sn,stock,ltp,point_change,percent_change,open,high,low,volume,prev_close,detail_link
1,ACLBSL,800.00,2.00,0.25,813.00,815.00,796.80,388.00,798.00,https://www.sharesansar.com/company/aclbsl
2,ADBL,320.00,-1.00,-0.31,327.40,327.40,318.00,"3,734.00",321.00,https://www.sharesansar.com/company/adbl
3,AHPC,334.50,-1.30,-0.39,339.70,340.00,331.10,"15,927.00",335.80,https://www.sharesansar.com/company/ahpc
4,AKJCL,204.00,-2.50,-1.21,210.60,210.60,202.00,"6,155.00",206.50,https://www.sharesansar.com/company/akjcl
5,AKPL,450.00,7.00,1.58,444.00,450.00,439.00,"55,611.00",443.00,https://www.sharesansar.com/company/akpl
6,ALBSL,"1,155.00",-8.90,-0.76,"1,141.00","1,180.00","1,122.10","2,609.00","1,163.90",https://www.sharesansar.com/company/albsl
7,ALICL,563.00,7.00,1.26,567.00,567.00,558.00,"8,219.00",556.00,https://www.sharesansar.com/company/alicl
8,API,249.90,-2.10,-0.83,257.00,257.00,247.00,"67,074.00",252.00,https://www.sharesansar.com/company/api
9,BARUN,250.00,-4.00,-1.57,254.00,258.00,245.00,"2,818.00",254.00,https://www.sharesansar.com/company/barun
10,BBC,"3,370.00",0.00,0.00,"3,370.00","3,370.00","3,370.00",30.00,"3,370.00",https://www.sharesansar.com/company/bbc
11,BFC,370.00,0.00,0.00,375.00,377.10,369.00,"4,980.00",370.00,https://www.sharesansar.com/company/bfc
12,BHDC,421.00,-8.00,-1.86,420.60,444.70,420.10,"1,210.00",429.00,https://www.sharesansar.com/company/bhdc
13,BHL,310.00,-8.00,-2.52,320.00,324.00,306.90,"2,217.00",318.00,https://www.sharesansar.com/company/bhl
14,BNHC,390.20,-16.70,-4.10,414.00,414.00,390.00,470.00,406.90,https://www.sharesansar.com/company/bnhc
15,BNT,"13,284.70",-5.30,-0.04,"13,555.80","13,555.80","13,284.70",30.00,"13,290.00",https://www.sharesansar.com/company/bnt
16,BOKD86,765.00,0.00,0.00,765.00,765.00,765.00,25.00,765.00,https://www.sharesansar.com/company/bokd86
17,BPCL,311.00,-2.00,-0.64,312.00,315.00,310.00,"4,841.00",313.00,https://www.sharesansar.com/company/bpcl
18,CBBL,"1,035.00",1.00,0.10,"1,040.00","1,042.00","1,031.00","1,363.00","1,034.00",https://www.sharesansar.com/company/cbbl
19,CFCL,331.00,0.00,0.00,325.00,338.10,325.00,"13,244.00",331.00,https://www.sharesansar.com/company/cfcl
20,CGH,"1,005.00",-14.90,-1.46,"1,035.00","1,035.00",999.60,"1,243.00","1,019.90",https://www.sharesansar.com/company/cgh
21,CHCL,392.00,10.00,2.62,389.00,416.00,385.00,"8,303.00",382.00,https://www.sharesansar.com/company/chcl
22,CHDC,682.20,-6.80,-0.99,676.00,702.00,676.00,436.00,689.00,https://www.sharesansar.com/company/chdc
23,CHL,236.00,-2.00,-0.84,239.20,241.00,236.00,"2,076.00",238.00,https://www.sharesansar.com/company/chl
24,CIT,"1,987.00",-9.00,-0.45,"2,001.10","2,001.10","1,985.00","5,096.00","1,996.00",https://www.sharesansar.com/company/cit
25,CLBSL,869.00,-14.00,-1.59,890.00,890.00,868.10,89.00,883.00,https://www.sharesansar.com/company/clbsl
26,CMF1,8.10,0.10,1.25,7.95,8.10,7.95,"2,100.00",8.00,https://www.sharesansar.com/company/cmf1
27,CMF2,8.30,0.07,0.85,8.30,8.30,8.30,"1,470.00",8.23,https://www.sharesansar.com/company/cmf2
28,CORBL,298.00,5.00,1.71,293.00,310.00,293.00,"3,397.00",293.00,https://www.sharesansar.com/company/corbl
29,CZBIL,195.00,-1.00,-0.51,197.80,197.90,195.00,"32,212.00",196.00,https://www.sharesansar.com/company/czbil
30,DDBL,985.00,5.00,0.51,981.00,989.00,971.00,"1,658.00",980.00,https://www.sharesansar.com/company/ddbl
31,DHPL,203.00,0.00,0.00,207.00,207.00,200.10,"2,325.00",203.00,https://www.sharesansar.com/company/dhpl
32,DORDI,316.10,-9.90,-3.04,332.00,336.00,316.10,"7,385.00",326.00,https://www.sharesansar.com/company/dordi
33,EBL,485.00,-5.00,-1.02,490.00,499.80,485.00,"10,325.00",490.00,https://www.sharesansar.com/company/ebl
34,EDBL,330.00,3.00,0.92,332.00,334.00,327.00,"8,371.00",327.00,https://www.sharesansar.com/company/edbl
35,ENL,670.00,-5.90,-0.87,662.40,682.00,662.40,537.00,675.90,https://www.sharesansar.com/company/enl
36,FMDBL,686.10,-3.90,-0.57,700.00,700.00,686.00,876.00,690.00,https://www.sharesansar.com/company/fmdbl
37,FOWAD,"2,610.10",-8.90,-0.34,"2,620.00","2,638.00","2,606.10","2,434.00","2,619.00",https://www.sharesansar.com/company/fowad
38,GBBL,376.20,-0.80,-0.21,379.00,384.50,376.00,"11,094.00",377.00,https://www.sharesansar.com/company/gbbl
39,GBLBS,684.00,-3.00,-0.44,690.00,694.00,675.00,"1,331.00",687.00,https://www.sharesansar.com/company/gblbs
40,GFCL,495.30,0.30,0.06,485.10,510.00,485.10,"5,492.00",495.00,https://www.sharesansar.com/company/gfcl
41,GHL,203.00,-2.00,-0.98,208.00,209.00,203.00,"8,655.00",205.00,https://www.sharesansar.com/company/ghl
